file,sheet,row,year,category,asset,side,entry_date,exit_date,pnl,side_norm
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,13,2018,Ações,LINX3 (T),Long,2018-01-26,2018-01-29,-1610.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,14,2018,Futuros,WING18,Long,2018-01-26,2018-01-26,-212.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,15,2018,Futuros,WING18,Short,2018-01-29,2018-01-29,-860.0,Venda/Short
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,17,2018,Ações,EVEN3,Long,2017-12-21,2018-02-05,1820.0000000000036,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,18,2018,Ações,GRND3(T),Long,2017-12-21,2018-02-05,-220.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,19,2018,Ações,JHSF3,Long,,2018-02-05,-1428.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,20,2018,Ações,BRSR6,Long,2018-01-24,2018-02-05,1450.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,21,2018,FIIs,VVAR11,Long,2018-01-24,2018-02-05,1080.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,22,2018,Ações,EZTC3 (T),Long,2018-01-26,2018-02-05,-560.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,23,2018,Ações,TGMA3 (T),Long,2018-01-26,2018-02-05,-220.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,24,2018,Ações,LIGT3,Long,2018-01-30,2018-02-05,-2336.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,25,2018,Ações,CARD3 (T),Long,2018-01-30,2018-02-05,2375.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,26,2018,Ações,CPLE6 (T),Long,2018-01-30,2018-02-05,-1089.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,27,2018,Ações,BTOW3,Long,2018-01-31,2018-02-05,47.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,28,2018,FIIs,SULA11,Long,2018-02-07,2018-02-09,-3161.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,29,2018,Ações,GRND3,Long,2018-02-08,,-840.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,30,2018,Ações,GRND3,Long,2018-02-08,2018-02-22,-1170.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,31,2018,FIIs,SULA11,Long,2018-02-21,2018-02-27,-750.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,32,2018,Futuros,WINJ18,Long,2018-01-26,2018-01-26,-894.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,33,2018,FIIs,VVAR11,Long,2018-02-26,2018-02-27,-495.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,34,2018,Ações,VALE3,Long,2018-02-23,2018-02-23,-441.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,36,2018,Ações,MAGG3,Long,2018-02-22,2018-04-04,-1557.0,Compra/Long
